#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
296641:5822,06/12/17 09:35:13,22,21,0.000008463,0.000001412
296642:5822,06/12/17 09:43:32,48,46,0.000026227,0.000017598
296643:5822,06/12/17 10:02:01,28,21,0.000015571,0.000008316
296644:5822,06/12/17 10:12:33,44,15,0.000023992,0.000007035
296646:5822,06/12/17 10:29:31,26,15,0.000013928,0.000007502
296647:5822,06/12/17 10:39:36,212,212,0.000113991,0.000109408
296662:5824,06/12/17 17:02:36,8,0,0.000000059,0
296663:5824,06/12/17 17:05:31,89,80,0.005972656,0.002821181
296664:5824,06/12/17 17:39:54,41,28,0.003361620,0.001862934
296665:5824,06/12/17 17:55:39,46,20,0.004235623,0.001374867
296666:5824,06/12/17 18:13:33,29,17,0.002616586,0.001004071
296668:5824,06/12/17 18:24:38,46,17,0.004075812,0.000938720
296669:5824,06/12/17 18:42:21,27,16,0.002354143,0.001117418
296671:5824,06/12/17 18:52:44,20,12,0.001713325,0.000000141
296674:5824,06/12/17 19:00:25,33,22,0.002818590,0.001369526
296675:5824,06/12/17 19:13:05,27,16,0.002275356,0.000955188
296676:5824,06/12/17 19:23:21,31,20,0.002580993,0.001350643
296677:5824,06/12/17 19:35:13,91,81,0.007479754,0.003321984
296678:5824,06/12/17 20:10:20,27,16,0.002185512,0.001120189
296679:5824,06/12/17 20:20:44,28,17,0.002239971,0.000957811
296680:5824,06/12/17 20:31:26,50,18,0.003426214,0.001114827
296700:5825,06/12/17 23:26:30,14,0,0.000000190,0
296702:5825,06/12/17 23:31:36,128,128,0.015744212,0.013614310
296783:5830,06/14/17 06:15:37,16,0,0.000000164,0
296786:5830,06/14/17 06:21:49,763,751,0.090410055,0.080234242
296787:5830,06/14/17 11:18:10,83,76,0.008995472,0.007423652
296788:5830,06/14/17 11:50:23,61,49,0.006401330,0.004713418
296789:5830,06/14/17 12:13:57,28,16,0.002880151,0.001231984
296790:5830,06/14/17 12:24:48,27,16,0.002743812,0.001077366
296791:5830,06/14/17 12:35:08,43,16,0.004302692,0.000306740
296795:5830,06/14/17 12:51:43,31,18,0.003050179,0.001490871
